District LGD Code,District,Date,Measurement,Station Count
438,Ahmedabad,2021-01-01,-20.147750000000002,1
438,Ahmedabad,2021-01-02,-36.166,3
438,Ahmedabad,2021-01-03,-10.178625,2
438,Ahmedabad,2021-01-04,-10.21875,2
438,Ahmedabad,2021-01-05,-29.215899999999998,3
438,Ahmedabad,2021-01-06,-39.18415151515151,10
438,Ahmedabad,2021-01-07,-50.62238596491228,17
438,Ahmedabad,2021-01-08,-45.544879120879116,26
438,Ahmedabad,2021-01-09,-39.228205128205126,31
438,Ahmedabad,2021-01-10,-39.10246875,32
438,Ahmedabad,2021-01-11,-39.0458046875,32
438,Ahmedabad,2021-01-12,-39.060562499999996,32
438,Ahmedabad,2021-01-13,-38.7309453125,32
438,Ahmedabad,2021-01-14,-38.94665625,32
438,Ahmedabad,2021-01-15,-39.3329140625,32
438,Ahmedabad,2021-01-16,-41.051453125,32
438,Ahmedabad,2021-01-17,-40.9315390625,32
438,Ahmedabad,2021-01-18,-41.037875,32
438,Ahmedabad,2021-01-19,-37.95028368794326,36
438,Ahmedabad,2021-01-20,-37.31458333333333,36
438,Ahmedabad,2021-01-21,-37.492289655172414,37
438,Ahmedabad,2021-01-22,-37.96060810810811,37
438,Ahmedabad,2021-01-23,-37.987722972972975,37
438,Ahmedabad,2021-01-24,-38.094905405405406,37
438,Ahmedabad,2021-01-25,-38.079209459459456,37
438,Ahmedabad,2021-01-26,-37.99174324324324,37
438,Ahmedabad,2021-01-27,-37.78867567567568,37
438,Ahmedabad,2021-01-28,-37.88366216216216,37
438,Ahmedabad,2021-01-29,-38.02083783783784,37
438,Ahmedabad,2021-01-30,-38.01217567567567,37
438,Ahmedabad,2021-01-31,-37.88751351351351,37
438,Ahmedabad,2021-02-01,-37.779452702702706,37
438,Ahmedabad,2021-02-02,-37.87394594594595,37
438,Ahmedabad,2021-02-03,-38.01610135135135,37
438,Ahmedabad,2021-02-04,-38.015925675675675,37
438,Ahmedabad,2021-02-05,-37.971898648648654,37
438,Ahmedabad,2021-02-06,-38.53327027027027,37
438,Ahmedabad,2021-02-07,-38.578094594594596,37
438,Ahmedabad,2021-02-08,-38.58458783783784,37
438,Ahmedabad,2021-02-09,-38.76966216216216,37
438,Ahmedabad,2021-02-10,-38.76784459459459,37
438,Ahmedabad,2021-02-11,-38.74114864864865,37
438,Ahmedabad,2021-02-12,-38.63812837837838,37
438,Ahmedabad,2021-02-13,-38.807141891891895,37
438,Ahmedabad,2021-02-14,-38.29295945945946,37
438,Ahmedabad,2021-02-15,-37.68939189189189,37
438,Ahmedabad,2021-02-16,-37.76383108108108,37
438,Ahmedabad,2021-02-17,-37.75868243243243,37
438,Ahmedabad,2021-02-18,-37.72276351351351,37
438,Ahmedabad,2021-02-19,-37.75660135135135,37
438,Ahmedabad,2021-02-20,-37.74002702702703,37
438,Ahmedabad,2021-02-21,-37.719662162162166,37
438,Ahmedabad,2021-02-22,-37.712608108108114,37
438,Ahmedabad,2021-02-23,-37.48249324324324,37
438,Ahmedabad,2021-02-24,-37.26979194630872,38
438,Ahmedabad,2021-02-25,-35.88155263157895,38
438,Ahmedabad,2021-02-26,-34.53872903225806,39
438,Ahmedabad,2021-02-27,-34.35367096774194,39
438,Ahmedabad,2021-02-28,-33.87805769230769,39
438,Ahmedabad,2021-03-01,-33.90605128205128,39
438,Ahmedabad,2021-03-02,-33.0607911392405,40
438,Ahmedabad,2021-03-03,-32.21425,40
438,Ahmedabad,2021-03-04,-32.21130625,40
438,Ahmedabad,2021-03-05,-32.2370625,40
438,Ahmedabad,2021-03-06,-33.11313924050633,40
438,Ahmedabad,2021-03-07,-33.90457051282051,39
438,Ahmedabad,2021-03-08,-33.74994871794872,39
438,Ahmedabad,2021-03-09,-33.552217948717946,39
438,Ahmedabad,2021-03-10,-33.6303782051282,39
438,Ahmedabad,2021-03-11,-33.710935897435895,39
438,Ahmedabad,2021-03-12,-33.659423076923076,39
438,Ahmedabad,2021-03-13,-33.7492,39
438,Ahmedabad,2021-03-14,-33.85507236842105,38
438,Ahmedabad,2021-03-15,-33.84921052631579,38
438,Ahmedabad,2021-03-16,-33.97286842105263,38
438,Ahmedabad,2021-03-17,-33.52494230769231,39
438,Ahmedabad,2021-03-18,-35.045743589743594,39
438,Ahmedabad,2021-03-19,-32.825923076923075,39
438,Ahmedabad,2021-03-20,-33.392865384615384,39
438,Ahmedabad,2021-03-21,-32.86650641025641,39
438,Ahmedabad,2021-03-22,-33.68712179487179,39
438,Ahmedabad,2021-03-23,-33.92389102564102,39
438,Ahmedabad,2021-03-24,-33.89051282051282,39
438,Ahmedabad,2021-03-25,-33.73959615384616,39
438,Ahmedabad,2021-03-26,-34.45739102564102,39
438,Ahmedabad,2021-03-27,-36.07149358974359,39
438,Ahmedabad,2021-03-28,-36.36585161290323,39
438,Ahmedabad,2021-03-29,-35.92717948717949,39
438,Ahmedabad,2021-03-30,-34.961217948717945,39
438,Ahmedabad,2021-03-31,-35.025910256410256,39
438,Ahmedabad,2021-04-01,-34.470904458598724,40
438,Ahmedabad,2021-04-02,-33.57956875,40
438,Ahmedabad,2021-04-03,-34.45786875,40
438,Ahmedabad,2021-04-04,-34.44259375,40
438,Ahmedabad,2021-04-05,-34.73818238993711,40
438,Ahmedabad,2021-04-06,-35.76635897435897,39
438,Ahmedabad,2021-04-07,-35.83794230769231,39
438,Ahmedabad,2021-04-08,-36.740110389610386,39
