Dataset Name,Dataset Category,Relative Path,Absolute Path,File Size,Extension,Last Modified Timestamp,Parent Folder,Status
groundwater,Unknown,raw/groundwater.csv,C:/Water_Intelligence_Project/data/raw/groundwater.csv,0,.csv,2026-07-25T16:50:25.016744,raw,RAW
gwl_tel_6_hourly_gujarat_sw_gw_gj_2021_2025,Groundwater,raw/gwl_tel_6_hourly_gujarat_sw_gw_gj_2021_2025.csv,C:/Water_Intelligence_Project/data/raw/gwl_tel_6_hourly_gujarat_sw_gw_gj_2021_2025.csv,1123888698,.csv,2026-07-25T02:07:14.912041,raw,RAW
humid_tele_hr_gujarat-sw-gw_gj_2021_2021,Humidity,raw/humid_tele_hr_gujarat-sw-gw_gj_2021_2021.csv,C:/Water_Intelligence_Project/data/raw/humid_tele_hr_gujarat-sw-gw_gj_2021_2021.csv,207826920,.csv,2026-07-25T01:37:46.102953,raw,RAW
humid_tele_hr_gujarat-sw-gw_gj_2022_2022,Humidity,raw/humid_tele_hr_gujarat-sw-gw_gj_2022_2022.csv,C:/Water_Intelligence_Project/data/raw/humid_tele_hr_gujarat-sw-gw_gj_2022_2022.csv,325829801,.csv,2026-07-25T01:40:56.648964,raw,RAW
humid_tele_hr_gujarat-sw-gw_gj_2023_2023,Humidity,raw/humid_tele_hr_gujarat-sw-gw_gj_2023_2023.csv,C:/Water_Intelligence_Project/data/raw/humid_tele_hr_gujarat-sw-gw_gj_2023_2023.csv,304023048,.csv,2026-07-25T01:42:40.189951,raw,RAW
humid_tele_hr_gujarat-sw-gw_gj_2024_2024,Humidity,raw/humid_tele_hr_gujarat-sw-gw_gj_2024_2024.csv,C:/Water_Intelligence_Project/data/raw/humid_tele_hr_gujarat-sw-gw_gj_2024_2024.csv,298983076,.csv,2026-07-25T01:56:28.382881,raw,RAW
humid_tel_hr_gujarat_sw_gw_gj_2025_2025,Humidity,raw/humid_tel_hr_gujarat_sw_gw_gj_2025_2025.csv,C:/Water_Intelligence_Project/data/raw/humid_tel_hr_gujarat_sw_gw_gj_2025_2025.csv,202699505,.csv,2026-07-25T01:57:46.927368,raw,RAW
rainfall_tel_hr_gujarat_sw_gw_gj_2021_2025,Rainfall,raw/rainfall_tel_hr_gujarat_sw_gw_gj_2021_2025.csv,C:/Water_Intelligence_Project/data/raw/rainfall_tel_hr_gujarat_sw_gw_gj_2021_2025.csv,130346150,.csv,2026-07-25T01:05:51.828813,raw,RAW
rwl_tel_hr_gujarat_sw_gw_013_2021_2025,River Level,raw/rwl_tel_hr_gujarat_sw_gw_013_2021_2025.csv,C:/Water_Intelligence_Project/data/raw/rwl_tel_hr_gujarat_sw_gw_013_2021_2025.csv,281900640,.csv,2026-07-25T02:16:16.975699,raw,RAW
temperature 2021-2025,Temperature,raw/temperature 2021-2025.csv,C:/Water_Intelligence_Project/data/raw/temperature 2021-2025.csv,1419346421,.csv,2026-07-25T01:25:04.229936,raw,RAW
